"","Property.Name","Property.Type","Asking","PSF","Built.Year","Model","Developer","Address","District","Bedrooms","Bathrooms","Floor","Area","Tenure","No..of.Units","Facilities","Agent","Furnish","HDB.Town"
"779","Thomson Impressions","Apartment","$2,650,000","$1,303 psf (Built-up)","2019","Apartment","NS Property (Thomson) Pte Ltd","3 Lorong Puntong (576444)","D20 - Ang Mo Kio / Bishan / Thomson","4","3","HIGH","2,034 sqft (Built-up)","LEASEHOLD/99 years","288","Park/greenery View | Original Condition | Water Heater | Intercom | Cooker Hob/hood | Air Conditioning | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished",NA
"780","Corals At Keppel Bay","Condominium","$1,494,000","$2,571 psf (Built-up)","2018","Condominium","Keppel Bay Pte Ltd","23 Keppel Bay Drive (098023)","D4 - Sentosa / Harbourfront","1","1","MID","581 sqft (Built-up)","LEASEHOLD/99 years","366","50M Lap Pool | Public Promenade | Bbq Area | Tennis Court | Changing Rooms | Jacuzzi / Hydro Spa | Pathway / Forest Walk | Water Feature | Play Area | Clubhouse | Reflective Pools | Kid's Pool / Splash Pool With Jumping Jets | Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Not Furnished",NA
"781","One Eighties Residences","Apartment","$1,718,000","$1,388 psf (Built-up)","2015","Apartment","Santa Land Pte Ltd","186 Joo Chiat Terrace (427332)","D15 - East Coast / Marine Parade","3","1","LOW","1,238 sqft (Built-up)","FREEHOLD","52","Main Entrance | Bbq Area | Pool Deck | Guard House | Gymnasium | Swimming Pool | City View | Park/greenery View | Original Condition | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished",NA
"782","Corals At Keppel Bay","Condominium","$1,494,000","$2,571 psf (Built-up)","2018","Condominium","Keppel Bay Pte Ltd","23 Keppel Bay Drive (098023)","D4 - Sentosa / Harbourfront","1","1","LOW","581 sqft (Built-up)","LEASEHOLD/99 years","366","Bbq Area | Kid's Pool / Splash Pool With Jumping Jets | Tennis Court | 50M Lap Pool | Clubhouse | Changing Rooms | Water Feature | Jacuzzi / Hydro Spa | Pathway / Forest Walk | Play Area | Public Promenade | Reflective Pools | Original Condition | Park/greenery View | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Partially Furnished",NA
"783","Seletar Hills Estate","Detached","View to offer",NA,"2007","Detached","BUKIT SEMABWANG ESTATES LIMITED","MIMOSA CRESCENT","D28 - Seletar / Yio Chu Kang","5","6",NA,"7,857 sqft (Land) / 8,000 sqft (Built-up)","FREEHOLD",NA,"Renovated | Private Pool | Air Conditioning | Bathtub | Water Heater | Cooker Hob/hood | Jacuzzi | Maidsroom | Balcony","Ong Toon Hwang",NA,NA
"784","Marine Blue","Condominium","$1,568,000","$2,276 psf (Built-up)","2016","Condominium","Ladyhill (Private) Limited","89 MARINE PARADE ROAD (449313)","D15 - East Coast / Marine Parade","1","1","LOW","689 sqft (Built-up)","FREEHOLD","124","Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished",NA
"785","The Florentine","Apartment","$1,200,000","$1,083 psf (Built-up)","2011","Apartment","Roxy Homes Pte Ltd","68 Florence Road (549555)","D19 - Hougang / Punggol / Sengkang","3",NA,NA,"1,108 sqft (Built-up)","947 years from 05/10/1934","34","Renovated | Corner Unit | Intercom | Cooker Hob/hood | Balcony | Maidsroom","Shirley Tan",NA,NA
"786","Kingsford Waterbay","Apartment","$900,000","$1,327 psf (Built-up)","2018","Apartment","Kingsford Property Development Pte Ltd","74 Upper Serangoon View (533881)","D19 - Hougang / Punggol / Sengkang","2","1",NA,"678 sqft (Built-up)","LEASEHOLD/99 years","1165","Corner Unit | Park/greenery View | Swimming Pool View | Air Conditioning | Intercom | Cooker Hob/hood | Water Heater | Balcony","Murphy Lee (PHD, SRX) Www.8838-1388.com","Partially Furnished",NA
"787","Kingsford Waterbay","Apartment","$1,580,000","$1,299 psf (Built-up)","2018","Apartment","Kingsford Property Development Pte Ltd","80 Upper Serangoon View (533878)","D19 - Hougang / Punggol / Sengkang","4","4",NA,"1,216 sqft (Built-up)","LEASEHOLD/99 years","1165","Park/greenery View | Sea View | City View | Swimming Pool View | Original Condition | Corner Unit | Water Heater | Intercom | Cooker Hob/hood | Air Conditioning | Balcony | Maidsroom | Walk-in-wardrobe | Outdoor Patio | Private Garden | Terrace","Murphy Lee (PHD, SRX) Www.8838-1388.com","Partially Furnished",NA
"788","Rivervale Walk","HDB 5 Rooms","$395,000","$301 psf (Built-up)","1998","Improved",NA,"113 Rivervale Walk (540113)",NA,"3","2","LOW","122 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Air Conditioning | Cooker Hob/hood | Water Heater | Bombshelter | Balcony","Judy Leow","Fully Furnished","Sengkang"
"789","Suites @ Topaz","Apartment","$630,000","$1,500 psf (Built-up)","2012","Apartment","Goodland Development Pte Ltd","3 Topaz Road (327849)","D12 - Balestier / Toa Payoh","1","1","MID","420 sqft (Built-up)","FREEHOLD","46","Barbecue Area | Swimming Pool | Renovated | Corner Unit | Air Conditioning | Water Heater | Air-conditioning | Flooring For Bedroom | Flooring For Living/dining | Kitchen | Wardrobe | Balcony","Judy Leow","Fully Furnished",NA
"790","Woodlands Crescent","HDB 5 Rooms","$450,000","$373 psf (Built-up)","1997","Improved",NA,"782B Woodlands Crescent (732782)",NA,"3","2","MID","112 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Renovated | Air Conditioning | Water Heater | Bombshelter","Judy Leow","Fully Furnished","Woodlands"
"791","Bukit Batok East Avenue 4","HDB 3 Rooms","$270,000","$392 psf (Built-up)","1986","Model A",NA,"272 Bukit Batok East Avenue 4 (650272)",NA,"2","2","MID","64 sqm (Built-up)","LEASEHOLD/99 years",NA,"Renovated | Air Conditioning | Cooker Hob/hood","Judy Leow","Fully Furnished","Bukit Batok"
"792","Rivervale Drive","HDB 5 Rooms","$430,000","$363 psf (Built-up)","2000","Improved",NA,"121 Rivervale Drive (540121)",NA,"3","2","HIGH","110 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Air Conditioning | Water Heater | Cooker Hob/hood | Bombshelter","Judy Leow","Fully Furnished","Sengkang"
"793","Punggol Central","HDB Executive","$530,000","$385 psf (Built-up)","2004","Executive Apartment",NA,"190 Punggol Central (820190)",NA,"3","2","LOW","128 sqm (Built-up)","LEASEHOLD/99 years",NA,"Renovated | Air Conditioning | Water Heater | Bombshelter | Walk-in-wardrobe","Judy Leow","Fully Furnished","Punggol"
"794","Gem Residences","Condominium","$1,417,000","$1,496 psf (Built-up)","2020","Condominium","GEM Homes Pte Ltd","3 Lorong 5 Toa Payoh (319459)","D12 - Balestier / Toa Payoh","3","2","MID","947 sqft (Built-up)","LEASEHOLD/99 years","578","Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Nelly Moo (EXPERT-SRX)","Not Furnished",NA
"795","Queens Peak","Condominium","$1,239,000","$1,599 psf (Built-up)","2020","Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","2","2","HIGH","775 sqft (Built-up)","LEASEHOLD/99 years","736","Air Conditioning | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Nelly Moo (EXPERT-SRX)","Partially Furnished",NA
"796","Victoria Park Villas","Semi-Detached","$4,410,000","$1,919 psf (Land) /$1,053 psf (Built-up)",NA,"Semi-detached","Athens Residential Development Pte Ltd","Victoria Park Grove","D10 - Tanglin / Holland / Bukit Timah","5","5",NA,"2,298 sqft (Land) / 4,187 sqft (Built-up)","LEASEHOLD/99 years","109","Air Conditioning | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony | Private Garden | Roof Terrace","Nelly Moo (EXPERT-SRX)","Not Furnished",NA
"797","The Alps Residences","Condominium","$918,000","$981 psf (Built-up)",NA,"Condominium","MCC Land (Tampines) Pte Ltd","103 Tampines Street 86 (528576)","D18 - Pasir Ris / Tampines","3",NA,NA,"936 sqft (Built-up)","LEASEHOLD/99 years","626","Corner Unit | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Nelly Moo (EXPERT-SRX)",NA,NA
