"X","Property.Name","Property.Type","Asking","PSF","Built.Year","Model","Developer","Address","District","Bedrooms","Bathrooms","Furnish","Floor","Area","Tenure","No..of.Units","Facilities","Agent","Min.Distance","HDB.Town","lat","long","accuracy"
620,"Bayshore Park","Condominium","$820,000","$1,104 psf (Built-up)",1986,"Condominium","Ocean Front Pte Ltd","66 Bayshore Road (469985)","D16 - Bedok / Upper East Coast","1",1,"Partially Furnished",NA,"743 sqft (Built-up)","LEASEHOLD/99 years",1093,"Tennis Court | Barbecue Area | Swimming Pool | Gymnasium | Securities | Club House | Car Park | Fitness Area | Squash Court | Play Ground | Renovated | Air Conditioning | Intercom | Water Heater | Flooring For Living/dining | Flooring For Bedroom | Balcony | Outdoor Patio","Monica Chua",470,NA,1.311904,103.9382654,"street_address"
621,"Anchorvale Drive","HDB 5 Rooms","$499,000","$421 psf (Built-up)",2002,"Improved",NA,"321A Anchorvale Drive (541321)",NA,"3",NA,NA,NA,"110 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Renovated | Air Conditioning | Water Heater | Cooker Hob/hood | Bombshelter","Ng Ping Ping",330,"Sengkang",1.390038,103.89154,"street_address"
622,"Yishun Street 61","HDB 4 Rooms","$380,000","$343 psf (Built-up)",NA,"Model A",NA,"630 Yishun Street 61 (760630)",NA,"3",2,"Partially Furnished","MID","103 sqm (Built-up)","LEASEHOLD/99 years",NA,"Park/greenery View | Corner Unit | Air Conditioning | Air Conditioning | Water Heater","Sean Lim",540,"Yishun",1.418151,103.837677,"street_address"
623,"One Balmoral (enbloc)","Condominium","$2,920,000","$2,071 psf (Built-up)",2016,"Condominium","Hong Leong Holdings Ltd","1A Balmoral Road (259821)","D10 - Tanglin / Holland / Bukit Timah","3",3,"Partially Furnished",NA,"1,410 sqft (Built-up)","FREEHOLD",91,"Bbq Pavilions | Lap Pool | Table Games Pavilion | Children Playground | Water Feature | Changing Rooms | Clubhouse | Meditation Garden | Guardhouse | Outdoor Fitness Area | Gymnasium | Renovated | Park/greenery View | Corner Unit | Air Conditioning | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Koh Li Li",810,NA,1.313333,103.830196,"street_address"
624,"One Balmoral","Condominium","$3,530,000","$2,129 psf (Built-up)",2016,"Condominium","Hong Leong Holdings Ltd","1 Balmoral Road (259784)","D10 - Tanglin / Holland / Bukit Timah","4",NA,NA,NA,"1,658 sqft (Built-up)","FREEHOLD",NA,"City View | Air Conditioning | Corner Unit | Renovated | Bathtub | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony | Maidsroom","Koh Li Li",830,NA,1.313333,103.830196,"street_address"
625,"Lucky Gardens","Terrace","$2,500,000","$1,471 psf (Land) /$1,042 psf (Built-up)",NA,"Inter Terrace",NA,"Lucky Gardens","D16 - Bedok / Upper East Coast","3+1",NA,NA,NA,"1,699 sqft (Land) / 2,400 sqft (Built-up)","FREEHOLD",NA,"Air Conditioning | Water Heater | Cooker Hob/hood | Terrace | Roof Terrace","Paul Wong",650,NA,1.3191282,103.9411104,"route"
626,"Jurong West Street 64","HDB 5 Rooms","$508,888","$426 psf (Built-up)",2000,"Improved",NA,"684C Jurong West Street 64 (643684)",NA,"3",NA,NA,NA,"111 sqm (Built-up)","LEASEHOLD/99 years",NA,"Renovated | Cooker Hob/hood | Air Conditioning | Water Heater","Eugene Tay",600,"Jurong West",1.3436575,103.7045954,"street_address"
627,"The Gardens At Bishan","Condominium","$899,000","$949 psf (Built-up)",2004,"Condominium","First Garden Development Pte Ltd (FCC)","1 Sin Ming Walk (575574)","D20 - Ang Mo Kio / Bishan / Thomson","1",1,"Not Furnished","GROUND","947 sqft (Built-up)","LEASEHOLD/99 years",756,"Renovated | Corner Unit | Air Conditioning | Water Heater | Outdoor Patio","Sherry Tan",120,NA,1.3639742,103.8325629,"street_address"
628,"Thomson Garden Estate","Terrace","$2,998,888","$1,241 psf (Land) /$1,333 psf (Built-up)",2001,"Corner Terrace",NA,"Sin Ming Road","D20 - Ang Mo Kio / Bishan / Thomson","5",3,"Partially Furnished",NA,"2,415 sqft (Land) / 2,250 sqft (Built-up)","FREEHOLD",500,"Corner Unit | Air Conditioning | Cooker Hob/hood | Air Conditioning | Water Heater | Private Garden","Jerry Low",420,NA,1.3559431,103.8378404,"route"
629,"Telok Blangah Heights","HDB 5 Rooms","$730,000","$580 psf (Built-up)",1978,"Standard",NA,"72 Telok Blangah Heights (100072)",NA,"3",2,"Not Furnished","MID","117 sqm (Built-up)","LEASEHOLD/99 years",NA,"Renovated | Park/greenery View | Corner Unit | Cooker Hob/hood | Air Conditioning","Bryan Lee",600,"Bukit Merah",1.2761907,103.8095811,"premise"
630,"Rivervale Crescent","HDB 5 Rooms","$460,000","$381 psf (Built-up)",2003,"Improved",NA,"157C Rivervale Crescent (543157)",NA,"3",2,"Partially Furnished","HIGH","112 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Park/greenery View | Renovated | Air Conditioning | Water Heater","David Ho C Y",160,"Sengkang",1.387868,103.907752,"street_address"
631,"Sims Urban Oasis","Condominium","$1,350,000","$1,364 psf (Built-up)",2017,"Condominium","Sims Urban Oasis Pte Ltd","4 Sims Drive (387387)","D14 - Eunos / Geylang / Paya Lebar","4",NA,"Partially Furnished","HIGH","990 sqft (Built-up)","LEASEHOLD/99 years",1024,"Corner Unit | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony","Jaslyn Kee",390,NA,1.3189585,103.8814303,"street_address"
632,"Shelford Road","Terrace","$5,600,000","$2,972 psf (Land) /$1,217 psf (Built-up)",2015,"Inter Terrace",NA,"Shelford Road","D11 - Newton / Novena","5",6,"Partially Furnished",NA,"1,884 sqft (Land) / 4,600 sqft (Built-up)","FREEHOLD",NA,"Renovated | City View | Air Conditioning | Bathtub | Intercom | Air Conditioning | Water Heater | Bombshelter | Balcony | Walk-in-wardrobe | Terrace | Roof Terrace","Candice Tan",350,NA,1.3274968,103.811276,"route"
